The Beetle Who Went on His Travels

'There': KPA/THR
'knows': TPHOEZ
'anything': TPHEUG
'about': PW
'it?': T/H-F
'The': KPA/-T
'world': WORLD
'does': TKOS
'not': TPHOT
'deserve': TKEFRB
'to': TO
'be': -B
'made': PHAED
'acquainted': A/KWAEUPBTD
'with': W
'my': PHEU
'adventures,': SREPBGS/KW-BG
'for': TPOR
'it': T
'ought': OT
'to': TO
'have': SR
'given': TKPWEUFPB
'me': PHE
'golden': TKPWOELD/*EPB
'shoes': SHAOUS
'when': WHEPB
'the': -T
'emperor's': EPL/ROR/AES
'horse': HORS
'was': WAS
'shod,': SHOD/KW-BG
'and': SKP
'I': EU
'stretched': STREFPD
'out': OUT
'my': PHEU
'feet': TPAOET
'to': TO
'be': -B
'shod,': SHOD/KW-BG
'too.': TAO/TP-PL
'If': KPA/TP
'I': EU
'had': H
'received': SAOEFD
'golden': TKPWOELD/*EPB
'shoes': SHAOUS
'I': EU
'should': SHO
'have': SR
'been': PW-PB
'an': APB
'ornament': ORPB/*PLT
'to': TO
'the': -T
'stable;': STABL/STPH*FPLT
'now': TPHOU
'I': EU
'am': APL
'lost': HRO*S
'to': TO
'the': -T
'stable': STABL
'and': SKP
'to': TO
'the': -T
'world.': WORLD/TP-PL
'It': KPA/T
'is': S
'all': AUL
'over': OEFR
'with': W
'me."': PHE/TP-PL/KR-GS
'But': KPA/PWUT
'all': AUL
'was': WAS
'not': TPHOT
'yet': KWRET
'over.': OEFR/TP-PL
'A': KPA/AEU
'boat,': PWOET/KW-BG
'in': TPH
'which': WEU
'were': WR
'a': AEU
'few': TPAOU
'young': KWRUPBG
'girls,': TKPWEURLS/KW-BG
'came': KAEUPL
'rowing': ROE/-G
'up.': UP/TP-PL
'"Look,': KW-GS/KPA*/HRAOBG/KW-BG
'yonder': KWROPBD/ER
'is': S
'an': APB
'old': OLD
'wooden': WAOD/EPB
'shoe': SHAOU
'sailing': SAEULG
'along,"': HRAOPBG/KW-BG/KR-GS
'said': SED
'one': WUPB
'of': -F
'the': -T
'younger': KWRURPBG
'girls.': TKPWEURLS/TP-PL
'"And': KW-GS/AFPBD
'there's': THR-S
'a': AEU
'poor': PAOR
'little': HREUL
'creature': KRAOEFP
'bound': PWOUPBD
'fast': TPAFT
'in': TPH
'it,"': T/KW-BG/KR-GS
'said': SED
'another.': TPHOER/TP-PL
'The': KPA/-T
'boat': PWOET
'now': TPHOU
'came': KAEUPL
'close': KHROES
'to': TO
'our': OUR
'beetle's': PWAO*ELT/AES
'ship,': SHEUP/KW-BG
'and': SKP
'the': -T
'young': KWRUPBG
'girls': TKPWEURLS
'fished': TPEURBD
'it': T
'out': OUT
'of': -F
'the': -T
'water.': WAUR/TP-PL
'One': KPA/WUPB
'of': -F
'them': THEPL
'drew': TKRAOU
'a': AEU
'small': SPHAL
'pair': PAEUR
'of': -F
'scissors': SEUS/ORS
'from': TPR
'her': HER
'pocket,': POBGT/KW-BG
'and': SKP
'cut': KUT
'the': -T
'worsted': WORS/TED
'without': WOUT
'hurting': HURGT
'the': -T
'beetle,': PWAO*ELT/KW-BG
'and': SKP
'when': WHEPB
'she': SHE
'stepped': STEPD
'on': OPB
'shore': SHOR
'she': SHE
'placed': PHRAEUFD
'him': HEUPL
'on': OPB
'the': -T
'grass.': TKPWRAS/TP-PL
'"There,"': KW-GS/KPA*/THR/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"creep': KW-GS/KRAOEP
'away,': WA*EU/KW-BG
'or': OR
'fly,': TPHRAOEU/KW-BG
'if': TP
'thou': THO*U
'canst.': K*/A*/TPH*/S*/T*/TP-PL
'It': KPA/T
'is': S
'a': AEU
'splendid': SPHREPB/TKEUD
'thing': THEUPBG
'to': TO
'have': SR
'thy': THAO*EU
'liberty."': HREURBT/TP-PL/KR-GS
'Away': KPA/WA*EU
'flew': TPHRAOU
'the': -T
'beetle,': PWAO*ELT/KW-BG
'straight': STRAEUT
'through': THRU
'the': -T
'open': OEP
'window': WOEUPBD
'of': -F
'a': AEU
'large': HRARPBLG
'building;': PW-LG/STPH*FPLT
'there': THR
'he': HE
'sank': SA*PBG
'down,': TKOUPB/KW-BG
'tired': TAOEURD
'and': SKP
'exhausted,': KPAUFTD/KW-BG
'exactly': ELG
'on': OPB
'the': -T
'mane': PH*/A*/TPH*/*E
'of': -F
'the': -T
'emperor's': EPL/ROR/AES
'favorite': TPAEUFRT
'horse,': HORS/KW-BG
'who': WHO
'was': WAS
'standing': STAPBG
'in': TPH
'his': HEUS
'stable;': STABL/STPH*FPLT
'and': SKP
'the': -T
'beetle': PWAO*ELT
'found': TPOUPBD
'himself': HEUPLS
'at': AT
'home': HOEPL
'again.': TKPWEPB/TP-PL
'For': KPA/TPOR
'some': SOPL
'time': TAOEUPL
'he': HE
'clung': KHRUPBG
'to': TO
'the': -T
'mane,': PH*/A*/TPH*/*E/KW-BG
'that': THA
'he': HE
'might': PHAOEUT
'recover': ROFR
'himself.': HEUPLS/TP-PL
'"Well,"': KW-GS/KPA*/WEL/KW-BG/KR-GS
'he': HE
'said,': SED/KW-BG
'"here': KW-GS/HAOER
'I': EU
'am,': APL/KW-BG
'seated': SAOETD
'on': OPB
'the': -T
'emperor's': EPL/ROR/AES
'favorite': TPAEUFRT
'horse,—sitting': HORS/KW-BG/EPL/TKA*RB/SEUGT
'upon': POPB
'him': HEUPL
'as': AS
'if': TP
'I': EU
'were': WR
'the': -T
'emperor': EPL/ROR
'himself.': HEUPLS/TP-PL
'But': KPA/PWUT
'what': WHA
'was': WAS
'it': T
'the': -T
'farrier': TP*/A*/R*/R*/SKWREU/*ER
'asked': SK-D
'me?': PHE/H-F
'Ah,': KPA/AERBGS
'I': EU
'remember': RER
'now,—that's': TPHOURBGS/EPL/TKA*RB/THATS
'a': AEU
'good': TKPWAOD
'thought,—he': THAUT/KW-BG/EPL/TKA*RB/HE
'asked': SK-D
'me': PHE
'why': KWR
'the': -T
'golden': TKPWOELD/*EPB
'shoes': SHAOUS
'were': WR
'given': TKPWEUFPB
'to': TO
'the': -T
'horse.': HORS/TP-PL
'The': KPA/-T
'answer': AEPBS
'is': S
'quite': KWAOEUT
'clear': KHRAOER
'to': TO
'me,': PHE/KW-BG
'now.': TPHOU/TP-PL
'They': KPA/THE
'were': WR
'given': TKPWEUFPB
'to': TO
'the': -T
'horse': HORS
'on': OPB
'my': PHEU
'account."': K-T/TP-PL/KR-GS
'And': AFPBD
'this': TH
'reflection': RE/TPHR*EBGS
'put': PUT
'the': -T
'beetle': PWAO*ELT
'into': TPHAO
'a': AEU
'good': TKPWAOD
'temper.': TEPL/PER/TP-PL
'The': KPA/-T
'sun's': SUPB/AES
'rays': RA*ES
'also': HR-S
'came': KAEUPL
'streaming': STRAOEPL/-G
'into': TPHAO
'the': -T
'stable,': STAEURBLGS
'and': SKP
'shone': SHO*EPB
'upon': POPB
'him,': HEUPL/KW-BG
'and': SKP
'made': PHAED
'the': -T
'place': PHRAEUS
'lively': HRAOEUFL
'and': SKP
'bright.': PWRAOEUT/TP-PL
'"Travelling': KW-GS/KPA*/TRAFL/HREUPBG
'expands': EBGS/PAPBDZ
'the': -T
'mind': PHAOEUPBD
'very': SRE
'much,"': PHUFP/KW-BG/KR-GS
'said': SED
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"The': KW-GS/KPA*/-T
'world': WORLD
'is': S
'not': TPHOT
'so': SO
'bad': PWAD
'after': AF
'all,': AUL/KW-BG
'if': TP
'you': U
'know': TPHOE
'how': HOU
'to': TO
'take': TAEUBG
'things': THEUPBGS
'as': AS
'they': THE
'come."': KOPL/TP-PL/KR-GS
