Little Ida's Flowers

'"My': KW-GS/KPA*/PHEU
'there.': THR/TP-PL
'She': KPA/SHE
'drew': TKRAOU
'aside': A/SAOEUD
'the': -T
'curtains': KUR/TEUPBS
'of': -F
'the': -T
'little': HREUL
'bed.': PWED/TP-PL
'There': KPA/THR
'they': THE
'all': AUL
'lay,': HRAEU/KW-BG
'but': PWUT
'quite': KWAOEUT
'faded;': TPAEUD/-D/STPH*FPLT
'much': PHUFP
'more': PHOR
'so': SO
'than': THAPB
'the': -T
'day': TKAEU
'before.': PW-FR/TP-PL
'Sophy': S*P/O*/P*/H*/KWREU
'was': WAS
'lying': HRAOEUG
'in': TPH
'the': -T
'drawer': TKRAUR
'where': W-R
'Ida': KPA/EUD/SKWRA
'had': H
'placed': PHRAEUFD
'her;': HER/STPH*FPLT
'but': PWUT
'she': SHE
'looked': HRAOBGD
'very': SRE
'sleepy.': SHRAOE/PEU/TP-PL
'"Do': KW-GS/KPA*/TKO
'you': U
'remember': RER
'what': WHA
'the': -T
'flowers': TPHRO*URS
'told': TOLD
'you': U
'to': TO
'say': SAEU
'to': TO
'me?"': PHE/H-F/KR-GS
'said': SED
'little': HREUL
'Ida.': KPA/EUD/SKWRA/TP-PL
'But': KPA/PWUT
'Sophy': S*P/O*/P*/H*/KWREU
'looked': HRAOBGD
'quite': KWAOEUT
'stupid,': STAOUPD/KW-BG
'and': SKP
'said': SED
'not': TPHOT
'a': AEU
'single': SEUPBLG
'word.': WORD/TP-PL
'"You': KW-GS/KPA*/U
'are': R
'not': TPHOT
'kind': KEUPBD
'at': AT
'all,"': AUL/KW-BG/KR-GS
'said': SED
'Ida;': KPA/EUD/SKWRA/STPH*FPLT
'"and': KW-GS/SKP
'yet': KWRET
'they': THE
'all': AUL
'danced': TKAPBS/-D
'with': W
'you."': U/TP-PL/KR-GS
'Then': KPA/THEPB
'she': SHE
'took': TAOBG
'a': AEU
'little': HREUL
'paper': PAEUP
'box,': PWOBGS/KW-BG
'on': OPB
'which': WEU
'were': WR
'painted': PAEUPBTD
'beautiful': PWAOUFL
'birds,': PWEURDZ/KW-BG
'and': SKP
'laid': HRAEUD
'the': -T
'dead': TKED
'flowers': TPHRO*URS
'in': TPH
'it.': T/TP-PL
'"This': KW-GS/KPA*/TH
'shall': SHAL
'be': -B
'your': KWROUR
'pretty': PREUT
'coffin,"': KOFPB/KW-BG/KR-GS
'she': SHE
'said;': SED/STPH*FPLT
'"and': KW-GS/SKP
'by': PWEU
'and': SKP
'by,': PWEU/KW-BG
'when': WHEPB
'my': PHEU
'cousins': KUS/EUPBS
'come': KOPL
'to': TO
'visit': SREUFT
'me,': PHE/KW-BG
'they': THE
'shall': SHAL
'help': HEP
'me': PHE
'to': TO
'bury': PWUR/REU
'you': U
'out': OUT
'in': TPH
'the': -T
'garden;': TKPWA*RPB/STPH*FPLT
'so': SO
'that': THA
'next': TPHEGT
'summer': SAOURPL
'you': U
'may': PHAEU
'grow': TKPWROE
'up': UP
'again': TKPWEPB
'more': PHOR
'beautiful': PWAOUFL
'than': THAPB
'ever."': -FR/TP-PL/KR-GS
'Her': KPA/HER
'cousins': KUS/EUPBS
'were': WR
'two': TWO
'good-tempered': TKPWAOD/H-PB/TEFRP/ERD
'boys,': PWOEUS/KW-BG
'whose': WHOZ
'names': TPHAEUPLS
'were': WR
'James': SKWRAEUPLS
'and': SKP
'Adolphus.': A/TKOFL/SKWRUS/TP-PL
'Their': KPA/THAEUR
'father': TPAER
'had': H
'given': TKPWEUFPB
'them': THEPL
'each': AOEFP
'a': AEU
'bow': PWOE
'and': SKP
'arrow,': RO*EUR/KW-BG
'and': SKP
'they': THE
'had': H
'brought': PWRAUT
'them': THEPL
'to': TO
'show': SHOE
'Ida.': KPA/EUD/SKWRA/TP-PL
'She': KPA/SHE
'told': TOLD
'them': THEPL
'about': PW
'the': -T
'poor': PAOR
'flowers': TPHRO*URS
'which': WEU
'were': WR
'dead;': TKED/STPH*FPLT
'and': SKP
'as': AS
'soon': SAOPB
'as': AS
'they': THE
'obtained': OB/TAEUPBD
'permission,': PERPLGS/KW-BG
'they': THE
'went': WEPBT
'with': W
'her': HER
'to': TO
'bury': PWUR/REU
'them.': THEPL/TP-PL
'The': KPA/-T
'two': TWO
'boys': PWOEUS
'walked': WAUBGD
'first,': TPEUFRT/KW-BG
'with': W
'their': THAEUR
'crossbows': KROS/PWOE/-S
'on': OPB
'their': THAEUR
'shoulders,': SHOURLDZ/KW-BG
'and': SKP
'little': HREUL
'Ida': KPA/EUD/SKWRA
'followed,': TPOLD/KW-BG
'carrying': KAERG
'the': -T
'pretty': PREUT
'box': PWOBGS
'containing': KAUPB/TAEUPBG
'the': -T
'dead': TKED
'flowers.': TPHRO*URS/TP-PL
'They': KPA/THE
'dug': TKUG
'a': AEU
'little': HREUL
'grave': TKPWRAEUF
'in': TPH
'the': -T
'garden.': TKPWA*RPB/TP-PL
'Ida': KPA/EUD/SKWRA
'kissed': K*EUFD
'her': HER
'flowers': TPHRO*URS
'and': SKP
'then': THEPB
'laid': HRAEUD
'them,': THEPL/KW-BG
'with': W
'the': -T
'box,': PWOBGS/KW-BG
'in': TPH
'the': -T
'earth.': *ERT/TP-PL
'James': SKWRAEUPLS
'and': SKP
'Adolphus': A/TKOFL/SKWRUS
'then': THEPB
'fired': TPAOEURD
'their': THAEUR
'crossbows': KROS/PWOE/-S
'over': OEFR
'the': -T
'grave,': TKPWRAEUF/KW-BG
'as': AS
'they': THE
'had': H
'neither': TPHAOERT
'guns': TKPW-PBS
'nor': TPH-R
'cannons.': KAPB/TPHOPB/-S/TP-PL
